entry_time,exit_time,side,quantity,entry_price,exit_price,gross_pnl,commission,net_pnl,entry_order_id,exit_order_id,exit_comment,is_partial_exit,parent_entry_order_id,entry_bar_idx,exit_bar_idx,bars_held
2022-06-24 09:55:00,2022-06-24 11:20:00,long,13.586593,56.01,55.98,-0.40759779000001545,0.0,-0.40759779000001545,entry_long_2022-06-24 09:50:00,exit_VWAPExitRule_2022-06-24 11:20:00,VWAP Cross Down,False,,9282,9299,17
2022-06-24 11:30:00,2022-06-24 11:45:00,long,91.015314,55.93,55.92,-0.910153139999819,0.0,-0.910153139999819,entry_long_2022-06-24 11:25:00,exit_VWAPExitRule_2022-06-24 11:45:00,VWAP Cross Down,False,,9301,9304,3
2022-06-24 14:15:00,2022-06-24 14:20:00,long,139.220494,55.91,55.8935,-2.297138150999098,0.0,-2.297138150999098,entry_long_2022-06-24 14:10:00,exit_VWAPExitRule_2022-06-24 14:20:00,VWAP Cross Down,False,,9334,9335,1
2022-06-24 14:50:00,2022-06-24 14:50:00,long,195.365564,55.9,55.9,0.0,0.0,0.0,entry_long_2022-06-24 14:45:00,exit_VWAPExitRule_2022-06-24 14:50:00,VWAP Cross Down,False,,9341,9341,0
2022-06-24 15:30:00,2022-06-24 15:30:00,long,144.668571,55.91,55.91,0.0,0.0,0.0,entry_long_2022-06-24 15:25:00,exit_VWAPExitRule_2022-06-24 15:30:00,VWAP Cross Down,False,,9349,9349,0
2022-06-24 15:40:00,2022-06-24 15:40:00,long,105.39097,55.94,55.94,0.0,0.0,0.0,entry_long_2022-06-24 15:35:00,exit_TimeExitRule_2022-06-24 15:40:00,Time threshold reached,False,,9351,9351,0
2022-06-27 10:10:00,2022-06-27 10:50:00,short,48.637318,55.02,55.24,-10.700209959999945,0.0,-10.700209959999945,entry_short_2022-06-27 10:05:00,exit_VWAPExitRule_2022-06-27 10:50:00,VWAP Cross Up,False,,9363,9371,8
2022-06-27 12:05:00,2022-06-27 14:15:00,short,79.199557,55.00000000000001,55.17229999999999,-13.646083671098866,0.0,-13.646083671098866,entry_short_2022-06-27 12:00:00,exit_VWAPExitRule_2022-06-27 14:15:00,VWAP Cross Up,False,,9386,9412,26
2022-06-27 15:05:00,2022-06-27 15:40:00,short,244.266559,55.0078,54.900000000000006,26.331935060199378,0.0,26.331935060199378,entry_short_2022-06-27 15:00:00,exit_TimeExitRule_2022-06-27 15:40:00,Time threshold reached,False,,9422,9429,7
2022-06-28 10:55:00,2022-06-28 15:40:00,short,101.104238,54.42000000000001,53.46,97.0600684800008,0.0,97.0600684800008,entry_short_2022-06-28 10:50:00,exit_TimeExitRule_2022-06-28 15:40:00,Time threshold reached,False,,9450,9507,57
2022-06-30 10:10:00,2022-06-30 10:50:00,short,110.547522,51.46000000000001,51.68,-24.32045483999909,0.0,-24.32045483999909,entry_short_2022-06-30 10:05:00,exit_VWAPExitRule_2022-06-30 10:50:00,VWAP Cross Up,False,,9597,9605,8
2022-07-05 10:15:00,2022-07-05 11:20:00,long,69.732121,50.23,50.36,9.06517573000018,0.0,9.06517573000018,entry_long_2022-07-05 10:10:00,exit_VWAPExitRule_2022-07-05 11:20:00,VWAP Cross Down,False,,9754,9767,13
2022-07-05 11:30:00,2022-07-05 11:35:00,long,158.249894,50.175,50.245,11.077492580000046,0.0,11.077492580000046,entry_long_2022-07-05 11:25:00,exit_VWAPExitRule_2022-07-05 11:35:00,VWAP Cross Down,False,,9769,9770,1
2022-07-05 11:45:00,2022-07-05 12:45:00,long,64.897914,50.45,50.33,-7.787749680000295,0.0,-7.787749680000295,entry_long_2022-07-05 11:40:00,exit_VWAPExitRule_2022-07-05 12:45:00,VWAP Cross Down,False,,9772,9784,12
2022-07-05 12:55:00,2022-07-05 12:55:00,long,137.382243,50.26520000000001,50.26520000000001,0.0,0.0,0.0,entry_long_2022-07-05 12:50:00,exit_VWAPExitRule_2022-07-05 12:55:00,VWAP Cross Down,False,,9786,9786,0
